desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Christian Persch,(TOTEM_NARROWSPACE_PLUGIN) || (TOTEM_GMP_PLUGIN) || (TOTEM_MULLY_PLUGIN),1,1.099,0.693,0.693,1,totemPlugin.cpp,1,1,50.0,1.0,50.0,1.0,27,0.25,1.1015911872705018,0.9075700315670454,1.0
Antoine Jacoutot,(__OpenBSD__),1,1.099,0.693,0.693,1,totemPluginGlue.cpp,1,1,50.0,1.0,50.0,1.0,1,0.25,10.0,0.9075700315670454,1.0
Bastien Nocera,(__OpenBSD__),0,1.099,0.693,0.693,1,totemPluginGlue.cpp,1,0,50.0,1.0,50.0,1.0,2,0.5,20.0,0.9075700315670454,1.0
Bastien Nocera,(__linux),1,1.099,1.099,0.0,1,dvd_plus_rw_utils.cpp,2,1,100.0,1.0,100.0,1.0,2,0.125,2.7777777777777777,1.0095035098875704,1.0
Bastien Nocera,(__linux__),1,1.099,1.099,0.0,1,cd-drive.c,2,1,100.0,1.0,100.0,1.0,6,0.16216216216216217,2.575107296137339,1.0095035098875704,1.0
Bastien Nocera,(__linux__) ||  (__FreeBSD__),1,1.609,1.609,0.0,2,bacon-cd-selection.c,2,1,100.0,1.0,100.0,1.0,2,0.1,3.125,1.0439178321606852,1.0
Bastien Nocera,(__linux__) ||  (__FreeBSD__),1,1.609,1.609,0.0,2,bacon-v4l-selection.c,2,1,100.0,1.0,100.0,1.0,2,0.16666666666666666,5.882352941176471,1.0439178321606852,1.0
Bastien Nocera,(__linux__) || (__FreeBSD__),1,1.792,1.792,0.0,2,cd-drive.c,3,1,100.0,1.0,100.0,1.0,9,0.24324324324324326,3.8626609442060085,1.056200835441894,1.0
Bastien Nocera,(__linux__) || (__FreeBSD__),1,1.792,1.792,0.0,2,dvd_plus_rw_utils.cpp,2,1,100.0,1.0,100.0,1.0,4,0.25,5.555555555555555,1.056200835441894,1.0
Bastien Nocera,DBUS_NAME_FLAG_PROHIBIT_REPLACEMENT,1,1.609,1.099,1.099,2,totem-mozilla-viewer.c,1,1,50.0,1.0,50.0,1.0,1,0.125,4.761904761904762,0.8912378970124486,1.0
Bastien Nocera,DBUS_NAME_FLAG_PROHIBIT_REPLACEMENT,1,1.609,1.099,1.099,2,totem-plugin-viewer.c,1,0,50.0,1.0,50.0,1.0,1,0.1111111111111111,2.380952380952381,0.8912378970124486,1.0
Christian Persch,DBUS_NAME_FLAG_PROHIBIT_REPLACEMENT,0,1.609,1.099,1.099,2,totem-mozilla-viewer.c,1,0,50.0,1.0,50.0,1.0,2,0.25,9.523809523809524,0.8912378970124486,1.0
Christian Persch,DBUS_NAME_FLAG_PROHIBIT_REPLACEMENT,0,1.609,1.099,1.099,2,totem-plugin-viewer.c,1,1,50.0,1.0,50.0,1.0,2,0.2222222222222222,4.761904761904762,0.8912378970124486,1.0
Bastien Nocera,DEBUG,1,1.946,1.946,0.0,3,gtk-xine.c,2,1,100.0,1.0,100.0,1.0,2,0.2857142857142857,10.526315789473685,1.0665859667418565,1.0
Bastien Nocera,DEBUG,1,1.946,1.946,0.0,3,bacon-video-widget-xine.c,2,1,100.0,1.0,100.0,1.0,2,0.08,1.2121212121212122,1.0665859667418565,1.0
Bastien Nocera,DEBUG,1,1.946,1.946,0.0,3,totem-download.c,2,1,100.0,1.0,100.0,1.0,2,1.0,100.0,1.0665859667418565,1.0
Bastien Nocera,DEBUG_ENCODINGS,1,1.099,1.099,0.0,1,totem-subtitle-encoding.c,2,1,100.0,1.0,100.0,1.0,2,1.0,100.0,1.0095035098875704,1.0
Bastien Nocera,DEBUG_PLUGIN,0,1.099,0.693,0.693,1,totemNPObject.cpp,1,0,50.0,1.0,50.0,1.0,1,0.5,33.333333333333336,0.9075700315670454,1.0
Christian Persch,DEBUG_PLUGIN,1,1.099,0.693,0.693,1,totemNPObject.cpp,1,1,50.0,1.0,50.0,1.0,2,1.0,66.66666666666667,0.9075700315670454,1.0
Bastien Nocera,DEBUG_PL_ENABLE,1,1.099,1.099,0.0,1,gtk-playlist.c,2,1,100.0,1.0,100.0,1.0,2,0.2857142857142857,22.22222222222222,1.0095035098875704,1.0
Bastien Nocera,EGG_COMPILATION,1,1.099,1.099,0.0,1,egg-recent-view-gtk.c,2,1,100.0,1.0,100.0,1.0,2,0.2857142857142857,15.384615384615385,1.0095035098875704,1.0
Bastien Nocera,ENABLE_MISSING_PLUGIN_INSTALLATION,0,1.099,0.693,0.693,2,bacon-video-widget-gst-missing-plugins.c,1,1,100.0,1.0,50.0,1.0,1,0.16666666666666666,9.090909090909092,0.9075700315670454,1.0
Tim-Philipp Muller,ENABLE_MISSING_PLUGIN_INSTALLATION,1,1.099,0.693,0.693,2,totem-missing-plugins.c,1,1,100.0,1.0,50.0,1.0,1,0.25,14.285714285714286,0.9075700315670454,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,egg-recent-vfs-utils.c,2,1,100.0,1.0,103.333,1.0,2,0.5,33.333333333333336,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,gtk-xine.c,2,1,100.0,1.0,103.333,1.0,4,0.5714285714285714,21.05263157894737,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,cd-drive.c,2,1,100.0,1.0,103.333,1.0,11,0.2972972972972973,4.721030042918455,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,bacon-cd-selection.c,3,1,150.0,1.0,103.333,1.0,5,0.25,7.8125,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,bacon-v4l-selection.c,2,1,100.0,1.0,103.333,1.0,4,0.3333333333333333,11.764705882352942,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,bacon-video-widget-properties.c,2,1,100.0,1.0,103.333,1.0,2,0.2857142857142857,14.285714285714286,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,totem-pl-parser.c,2,1,100.0,1.0,103.333,1.0,2,0.15384615384615385,4.761904761904762,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,totem-playlist.c,2,1,100.0,1.0,103.333,1.0,2,0.3333333333333333,16.666666666666668,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,totem-screenshot.c,2,1,100.0,1.0,103.333,1.0,2,0.3333333333333333,16.666666666666668,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,totem-statusbar.c,2,1,100.0,1.0,103.333,1.0,2,0.3333333333333333,16.666666666666668,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,vanity.c,2,1,100.0,1.0,103.333,1.0,2,0.18181818181818182,4.651162790697675,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,video-dev.c,2,1,100.0,1.0,103.333,1.0,2,0.25,8.0,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,totem-mozilla-plugin.c,2,1,100.0,1.0,103.333,1.0,2,0.5,33.333333333333336,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,totem-mozilla-plugin.cpp,2,1,100.0,1.0,103.333,1.0,2,0.4,20.0,1.1689766277716176,1.0
Bastien Nocera,ENABLE_NLS,1,3.434,3.466,0.0,15,totem-mozilla-viewer.c,2,1,100.0,1.0,103.333,1.0,4,0.5,19.047619047619047,1.1689766277716176,1.0
Bastien Nocera,ENABLE_PYTHON,1,1.609,1.099,1.099,1,totem-plugins-engine.c,2,1,50.0,1.0,50.0,1.0,2,0.2857142857142857,11.11111111111111,0.8912378970124486,1.0
Philip Withnall,ENABLE_PYTHON,0,1.609,1.099,1.099,1,totem-plugins-engine.c,2,0,50.0,1.0,50.0,1.0,4,0.5714285714285714,22.22222222222222,0.8912378970124486,1.0
Bastien Nocera,ENABLE_REMEMBER_INFO,1,1.099,1.099,0.0,1,gnome-password-dialog.c,2,1,100.0,1.0,100.0,1.0,2,1.0,100.0,1.0095035098875704,1.0
Bastien Nocera,F_TLOCK,1,1.099,1.099,0.0,1,egg-recent-model.c,2,1,100.0,1.0,100.0,1.0,2,0.25,10.0,1.0095035098875704,1.0
Bastien Nocera,GDK_WINDOWING_WAYLAND,1,1.099,0.693,0.693,1,totem-object.c,1,1,50.0,1.0,50.0,1.0,1,0.14285714285714285,4.0,0.9075700315670454,1.0
Lionel Landwerlin,GDK_WINDOWING_WAYLAND,0,1.099,0.693,0.693,1,totem-object.c,1,0,50.0,1.0,50.0,1.0,2,0.2857142857142857,8.0,0.9075700315670454,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,bacon-video-widget-gst-missing-plugins.c,3,1,60.0,1.0,74.074,1.0,4,0.6666666666666666,36.36363636363637,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,totem-dvb-setup.c,1,1,50.0,1.0,74.074,1.0,1,0.5,33.333333333333336,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,totem.c,4,0,100.0,1.0,74.074,1.0,4,0.1,1.1204481792717087,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,video-utils.c,2,1,100.0,1.0,74.074,1.0,2,0.5,33.333333333333336,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,totem-scrsaver.c,1,0,50.0,1.0,74.074,1.0,1,0.1,2.9411764705882355,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,totem-object.c,2,0,100.0,1.0,74.074,1.0,4,0.5714285714285714,16.0,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,totem-interface.c,2,1,100.0,1.0,74.074,1.0,2,0.6666666666666666,40.0,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,totem-disc-recorder.c,2,1,100.0,1.0,74.074,1.0,2,1.0,100.0,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,bacon-video-widget.c,2,1,100.0,1.0,74.074,1.0,2,1.0,100.0,0.9167475946675927,1.0
Bastien Nocera,GDK_WINDOWING_X11,0,3.332,3.045,2.079,12,totem-session.c,1,0,50.0,1.0,74.074,1.0,1,0.16666666666666666,7.6923076923076925,0.9167475946675927,1.0
Christian Persch,GDK_WINDOWING_X11,0,3.332,0.693,3.296,12,totem-session.c,1,1,50.0,1.0,3.704,0.05,2,0.3333333333333333,15.384615384615385,0.6273904869289575,0.6843655664637392
James Livingston,GDK_WINDOWING_X11,1,3.332,1.386,3.219,12,totem-scrsaver.c,1,1,50.0,1.0,11.111,0.15,2,0.2,5.882352941176471,0.6823726685615852,0.7443408333228401
James Livingston,GDK_WINDOWING_X11,1,3.332,1.386,3.219,12,totem.c,1,1,25.0,0.25,11.111,0.15,5,0.125,1.4005602240896358,0.23299516856158525,0.25415410950281025
James Livingston,GDK_WINDOWING_X11,1,3.332,1.386,3.219,12,bvw-test.c,1,1,100.0,1.0,11.111,0.15,1,1.0,100.0,0.6823726685615852,0.7443408333228401
Kalev Lember,GDK_WINDOWING_X11,0,3.332,1.099,3.258,12,bacon-video-widget-gst-missing-plugins.c,2,0,40.0,0.667,7.407,0.1,6,1.0,54.54545454545455,0.459245807569558,0.500951199916786
Philip Withnall,GDK_WINDOWING_X11,0,3.332,0.693,3.296,12,totem-object.c,1,1,50.0,0.5,3.704,0.05,5,0.7142857142857143,20.0,0.3278054869289575,0.35757441725038597
Sebastian Polsterl,GDK_WINDOWING_X11,0,3.332,0.693,3.296,12,totem-dvb-setup.c,1,0,50.0,1.0,3.704,0.05,2,1.0,66.66666666666667,0.6273904869289575,0.6843655664637392
