"Desenvolvedor","Data","Commits","Total"
"Philip Withnall","2008-12-01",3,3657
"Bastien Nocera","2009-01-01",10,3657
"Brian Cameron","2009-01-01",1,3657
"Philip Withnall","2009-01-01",1,3657
"Bastien Nocera","2009-02-01",14,3657
"Philip Withnall","2009-02-01",8,3657
"Bastien Nocera","2009-03-01",6,3657
"Christian Persch","2009-03-01",1,3657
"Philip Withnall","2009-03-01",1,3657
"Bastien Nocera","2009-04-01",11,3657
"Christian Persch","2009-04-01",1,3657
"Philip Withnall","2009-04-01",8,3657
"Bastien Nocera","2009-05-01",9,3657
"Bastien Nocera","2009-06-01",2,3657
"Christian Persch","2009-06-01",1,3657
"Philip Withnall","2009-06-01",4,3657
"Bastien Nocera","2009-07-01",10,3657
"Philip Withnall","2009-07-01",6,3657
"Bastien Nocera","2009-08-01",2,3657
"Philip Withnall","2009-08-01",1,3657
"Bastien Nocera","2009-09-01",17,3657
"Christian Persch","2009-09-01",1,3657
"Philip Withnall","2009-09-01",1,3657
"Bastien Nocera","2009-10-01",13,3657
"Bastien Nocera","2009-11-01",54,3657
"Christian Persch","2009-11-01",1,3657
"Philip Withnall","2009-11-01",2,3657
"Robin Stocker","2009-11-01",2,3657
"Bastien Nocera","2009-12-01",11,3657
"Bastien Nocera","2010-01-01",9,3657
"Bastien Nocera","2010-02-01",4,3657
"Javier Jardon","2010-02-01",1,3657
"Philip Withnall","2010-02-01",1,3657
"Bastien Nocera","2010-03-01",2,3657
"Bastien Nocera","2010-04-01",23,3657
"Philip Withnall","2010-04-01",3,3657
"Bastien Nocera","2010-05-01",11,3657
"Bastien Nocera","2010-06-01",35,3657
"Philip Withnall","2010-06-01",5,3657
"Alexander Saprykin","2010-07-01",1,3657
"Philip Withnall","2010-07-01",12,3657
"Bastien Nocera","2010-08-01",11,3657
"Philip Withnall","2010-08-01",6,3657
"Bastien Nocera","2010-09-01",6,3657
"Philip Withnall","2010-09-01",13,3657
"Bastien Nocera","2010-10-01",16,3657
"Matthias Clasen","2010-10-01",1,3657
"Bastien Nocera","2010-11-01",5,3657
"Bastien Nocera","2010-12-01",17,3657
"Philip Withnall","2010-12-01",13,3657
"Bastien Nocera","2011-01-01",9,3657
"Philip Withnall","2011-01-01",3,3657
"Bastien Nocera","2011-02-01",9,3657
"Ignacio Casal Quinteiro","2011-02-01",1,3657
"Philip Withnall","2011-02-01",2,3657
"Bastien Nocera","2011-03-01",14,3657
"Tim-Philipp Muller","2011-03-01",1,3657
"Bastien Nocera","2011-04-01",41,3657
"Philip Withnall","2011-04-01",3,3657
"Bastien Nocera","2011-06-01",13,3657
"Philip Withnall","2011-06-01",3,3657
"Bastien Nocera","2011-07-01",14,3657
"Philip Withnall","2011-07-01",5,3657
"Bastien Nocera","2011-09-01",3,3657
"Bastien Nocera","2011-10-01",2,3657
"Bastien Nocera","2011-11-01",1,3657
"Bastien Nocera","2011-12-01",26,3657
"Philip Withnall","2011-12-01",1,3657
"Bastien Nocera","2012-01-01",4,3657
"Bastien Nocera","2012-03-01",32,3657
"Bastien Nocera","2012-04-01",66,3657
"Bastien Nocera","2012-05-01",3,3657
"Bastien Nocera","2012-06-01",44,3657
"Bastien Nocera","2012-07-01",65,3657
"Bastien Nocera","2012-08-01",5,3657
"Bastien Nocera","2012-09-01",2,3657
"Bastien Nocera","2012-10-01",12,3657
"Bastien Nocera","2012-11-01",2,3657
"Bastien Nocera","2012-12-01",15,3657
"Philip Withnall","2012-12-01",2,3657
"Bastien Nocera","2013-01-01",2,3657
"Bastien Nocera","2013-02-01",4,3657
"Bastien Nocera","2013-03-01",106,3657
"Bastien Nocera","2013-04-01",24,3657
"Bastien Nocera","2013-05-01",66,3657
"Bastien Nocera","2013-07-01",28,3657
"Yosef Or Boczko","2013-07-01",1,3657
"Bastien Nocera","2013-08-01",7,3657
"Philip Withnall","2013-08-01",2,3657
"Bastien Nocera","2013-09-01",2,3657
"Philip Withnall","2013-09-01",1,3657
"Bastien Nocera","2013-10-01",1,3657
"Bastien Nocera","2013-11-01",2,3657
"Bastien Nocera","2013-12-01",3,3657
"Bastien Nocera","2014-01-01",164,3657
"Philip Withnall","2014-01-01",1,3657
"Bastien Nocera","2014-02-01",103,3657
"Bastien Nocera","2014-03-01",15,3657
"Bastien Nocera","2014-04-01",28,3657
"Bastien Nocera","2014-05-01",23,3657
"Bastien Nocera","2014-06-01",7,3657
"Bastien Nocera","2014-07-01",2,3657
"Bastien Nocera","2014-08-01",5,3657
"Bastien Nocera","2014-09-01",9,3657
"Bastien Nocera","2014-10-01",19,3657
"Bastien Nocera","2014-11-01",12,3657
"Bastien Nocera","2014-12-01",3,3657
"Bastien Nocera","2015-01-01",4,3657
"Bastien Nocera","2015-02-01",2,3657
"Bastien Nocera","2015-03-01",10,3657
"Bastien Nocera","2015-04-01",6,3657
"Bastien Nocera","2015-05-01",2,3657
"Matthieu Gautier","2015-07-01",1,3657
"Bastien Nocera","2015-08-01",6,3657
"Bastien Nocera","2015-09-01",1,3657
"Bastien Nocera","2015-11-01",1,3657
"Bastien Nocera","2015-12-01",7,3657
"Bastien Nocera","2016-01-01",2,3657
"Bastien Nocera","2016-03-01",8,3657
"Bastien Nocera","2016-04-01",3,3657
"Bastien Nocera","2016-06-01",2,3657
"Bastien Nocera","2016-10-01",1,3657
"Bastien Nocera","2016-11-01",1,3657
"Philip Withnall","2016-11-01",1,3657
"Bastien Nocera","2016-12-01",1,3657
"Bastien Nocera","2017-04-01",1,3657
"Bastien Nocera","2017-05-01",1,3657
"Bastien Nocera","2017-06-01",1,3657
"Bastien Nocera","2017-07-01",9,3657
"Bastien Nocera","2017-08-01",1,3657
"Bastien Nocera","2017-09-01",1,3657
"Bastien Nocera","2018-05-01",1,3657
"Bastien Nocera","2018-06-01",2,3657
"Bastien Nocera","2018-11-01",1,3657
"Bastien Nocera","2018-12-01",2,3657
"Bastien Nocera","2019-01-01",8,3657
"Bastien Nocera","2019-02-01",82,3657
"Bastien Nocera","2019-05-01",5,3657
"Bastien Nocera","2019-07-01",6,3657
"Bastien Nocera","2019-09-01",2,3657
"Bastien Nocera","2019-10-01",1,3657
"Robert Roth","2019-10-01",1,3657
"Bastien Nocera","2019-11-01",1,3657
"Bastien Nocera","2019-12-01",1,3657
"Bastien Nocera","2020-02-01",3,3657
"Bastien Nocera","2020-03-01",1,3657
"Bastien Nocera","2020-04-01",2,3657
"Bastien Nocera","2020-07-01",4,3657
"Bastien Nocera","2020-08-01",21,3657
"Bastien Nocera","2020-09-01",2,3657
