desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Arnold D. Robbins,array.c,9,True,DONTDEF,82,"3697ec5ca140f686643d204a54181a5ddbf9a799  -  2010-07-15 23:12:49+03:00, cce5115e21db1702e0617afdca36633e7e2c9eae  -  2010-07-15 23:24:47+03:00, 765c7494b3dac62207e6cd57fb839997e237f292  -  2010-07-16 11:58:26+03:00, dbd583bd2b8a6dd40c622875a4e197360cb5aba7  -  2010-07-16 12:04:45+03:00, cae8bc6ced84c12590e3554a06a952283735363a  -  2010-07-16 12:09:58+03:00, e1ef22d366abd1f9ec95eb495c727d55181c8584  -  2010-07-16 12:18:27+03:00, 61bb57af53ebe916d2db6e3585d4fc7ac1d99b92  -  2010-07-16 12:27:41+03:00, 66b0bdd602e952f20fa98f6ce5430cea68d4f598  -  2010-07-16 12:30:13+03:00, 2f83a4e72166e811a9f0b4726c19a3d5a0b17dcb  -  2010-07-16 12:33:03+03:00, 8c042f99cc7465c86351d21331a129111b75345d  -  2010-07-16 12:41:09+03:00, 558ba97bdeac5a68bb9248a5c4cdf2feeb24e771  -  2010-07-16 12:45:40+03:00, 6607eb3d5e40b98d2acc8f6b0d6a0b5a4b0f56bd  -  2010-07-16 12:49:45+03:00, f20ab7c3039a4023f41372bfe4bde3b16d481df7  -  2010-07-16 12:54:45+03:00, 3ca7f0b16d0a5c105380b284a81c6a1b2c210908  -  2010-07-16 12:57:07+03:00, b9e4a1fd4c8c8753ab8a9887bab55f03efe1e3e2  -  2010-07-16 12:59:03+03:00, bc70de7b3302d5a81515b901cae376b8b51d2004  -  2010-07-16 13:09:56+03:00, fae4762eba9ff7bb466a600130e9c90eaac6b0bc  -  2010-07-16 13:14:38+03:00, e888f1834b88270590b7e04d64c03c75863e4565  -  2010-07-16 13:17:58+03:00, 6cc7d587a710606d3fe52222707739c7cc1b8651  -  2010-07-16 13:22:00+03:00, 85c0d5edb781c9f31b79e48452b1ca68643f41de  -  2010-07-16 14:40:49+03:00, 315bd501ca696bc3e3c938b4604d8dac7a6f512f  -  2010-07-16 14:47:02+03:00, 6a2caf2157d87b4b582b2494bdd7d6a688dd0b1f  -  2010-07-16 14:49:57+03:00, 3ba50a15ebd976f7a88393e2e45dc14b6478b9a9  -  2010-07-16 14:52:31+03:00, 00ef0423acd97cb964a2bae54c93a03a8ab50e5e  -  2010-07-16 14:55:10+03:00, 6f3612539c425da2bc1d34db621696e6a273b01c  -  2010-11-18 23:00:31+02:00, bd52c816f95a6aec471f194b94c2e195cf7f9988  -  2010-12-18 20:29:22+02:00, 72bc84e8200de324ca4d24753bfd5f4773e221f5  -  2011-01-04 11:24:04+02:00, 817ceaf211807bac2586621d1372419c15459e71  -  2011-02-01 23:12:05+02:00, c303bf4568119a29999d213f5229faf174d9610b  -  2011-02-08 22:50:37+02:00, c160d41490f752f55312f2de91cdd94cc9270141  -  2011-02-13 19:56:21+02:00, a5695afdec422349f38bfd3658a325003b0e6b80  -  2011-02-27 08:02:24+02:00, 9a5422582e93056b5398c8d0c566cf356248e8a3  -  2011-03-03 21:29:09+02:00, 2400cc5143383a881356a9f55e93b60037d851e5  -  2011-03-29 20:51:30+02:00, d806340faadd79524b3adccef6cbced20cd88396  -  2011-04-01 11:58:20+03:00, c0583c31b8d47bd55e9340e7434cf9ccf7336f6d  -  2011-04-07 21:44:53+03:00, bcb8bd6d6671a3400c4bfe3e34eb4d5d66050f32  -  2011-04-18 10:23:54+03:00, 26e0f72a6bb214f1f53326c7b2325715afe43fb6  -  2011-04-22 09:19:36+03:00, 6cf1cd84870f4405143410585cc4e3e7f719f8f5  -  2011-04-22 16:09:37+03:00, 8eb45b02e704c95866970005fe771e3507fb935c  -  2011-04-24 12:45:47+03:00, 04746bc5c0301fac55badc956225f486607dffd9  -  2011-04-27 22:51:54+03:00, 70a498e0df48c71699797024fcb4c8154599ea5d  -  2011-04-29 10:35:31+03:00, 95155e4fa75ef9b29a1f2aab330f4558aa9d5383  -  2011-04-29 11:35:40+03:00, e7dced088c226280bcb1edb252011d6c186504e4  -  2011-05-04 23:05:28+03:00, 1387c9a6046ba3a3e9ce8343daac42e1086efa6b  -  2011-05-04 23:39:43+03:00, 783ae783275b5fab9104b711ac3d531dcc454d96  -  2011-05-08 20:52:33+03:00, a5711befb70980b837b548fb9653a708119fe9bf  -  2011-05-09 17:29:55+03:00, 997dbc7f520c811e4c5325b9536f72cb454560cc  -  2011-09-21 22:45:28+03:00, 3ba2f61ff006c308a904c8b1a4bc433082ce87c8  -  2011-12-06 22:00:44+02:00, 73d24cae0db6cc817db209e5e1ea93b0733d1cca  -  2011-12-26 23:39:48+02:00, f8ca822a7e81bd80afa7181ec5c0f0b4a50a4945  -  2012-05-07 21:59:26+03:00, e5353c0f447a8628985722296f57fc02dd2e0063  -  2012-05-11 15:05:35+03:00, 86024b7f014c286daa68c3a0a223ce51f6e13dfa  -  2012-11-22 16:11:22+02:00, ed17f7f9d71310c6418ba10a81bb35792f46cb08  -  2012-12-19 17:00:26+02:00, 6ffa69e5703cd9453a8adfb8ad61f3171f615f46  -  2013-04-16 12:05:30+03:00, 94b64f95755e183578d74fafa3e6403a1f23545a  -  2013-05-27 21:05:38+03:00, 7d19cbd54ad60474aded4b9fe587c7f53a14d488  -  2013-08-19 20:47:49+03:00, 933d15a9646fd550ad923005667d7014ef1cff97  -  2013-08-19 20:56:57+03:00, c3e4d0cf3f1fd24164e0a58db23b86b56c6dc7c8  -  2013-09-08 12:46:20+02:00, d80438ac6fef9137ab0450f02cd507d422aa9c32  -  2014-02-27 06:01:30+02:00, 69d85d51dfd0f2e3b464585633d270f06fa1e846  -  2014-03-31 22:17:13+03:00, 8b863f8852067b0638e09dc7c82355b96381dc12  -  2014-11-15 18:35:45+02:00, 1cf371db5f30bc9f40a4840f1d1d276ee46619a0  -  2016-05-02 06:50:36+03:00, db17f0d20a03bd851e8e4f005eb6304ad6a93c12  -  2016-05-30 16:05:19-04:00, 93897ef9a4907b5969a5496501c07ecb537dbbc8  -  2016-07-01 06:32:09+03:00, 3055361c2a022c9ac9ae42ac88c00e3055498a0d  -  2016-10-23 12:12:50+03:00, e8b0cf14d975304166c58a2d04a2943ab821367a  -  2016-11-18 06:00:17+02:00, 070c57daec076e780e81d8b1011a02ea8ac8915f  -  2017-04-04 21:53:44+03:00, d391c4885fbfcca9116fcabdb970f0a96934efc9  -  2017-08-04 11:09:09+03:00, a5f04737b4a5fce89ab7bd9264ba5b4813473121  -  2018-01-03 22:28:39+02:00, f856979d85ace61bfeb2d31146485ec668202ad8  -  2018-07-31 09:07:29+03:00, 663aff4ae012468c54d2e994e839d0e75210ef80  -  2019-01-11 15:14:33+02:00, c73d262642ee3a3d6585dc44acc62c432910f920  -  2019-01-15 21:27:06+02:00, eceb548b02f0d72ca6a6e9a68bfd615ac9549a64  -  2019-01-25 11:47:18+02:00, c0dfb9269380ff5a90dbf6606f64989848304527  -  2020-01-24 09:36:43+02:00, b772cbdb64d399de121a056656a4d275f2b9b167  -  2020-01-24 09:40:48+02:00, 455542e5a75843bb16c9e747fb63a8731021bf85  -  2020-01-26 20:20:58+02:00, 6514b3a2f5ed8c593d7d49526a27122989e673d0  -  2020-03-09 12:54:05+02:00, a43600eb76d87555c019079433f19039787befd5  -  2020-06-12 10:49:13+03:00, 8b1a5b7dbf993908f24c1a0a1ddebbf2b96c70dd  -  2020-06-14 11:18:15+03:00, af190c94590e340fcb5918a6ebd245169d5f1000  -  2020-08-13 21:40:07+03:00, d562eb482f3180dcd59a332edc91027ea3844d90  -  2021-01-08 11:05:32+02:00, 073460dda1b24bcb872186a0818859a6ccba727d  -  2021-01-09 22:32:07+02:00",15.763708297490782,1.0,Misto,Colaborador
Arnold D. Robbins,array.c,,,(VAXC),,,,,,Colaborador
Arnold D. Robbins,array.c,,,this_is_really_slow,,,,,,Colaborador
Arnold D. Robbins,array.c,,,! (MSDOS) && ! (OS2) && ! (atarist),,,,,,Colaborador
Arnold D. Robbins,array.c,,,(MAX_LEN <= 0) || !(HAVE_SNPRINTF),,,,,,Colaborador
Arnold D. Robbins,array.c,,,! (OS2),,,,,,Colaborador
Arnold D. Robbins,array.c,,,MBS_SUPPORT,,,,,,Colaborador
Arnold D. Robbins,array.c,,,ARRAYDEBUG,,,,,,Colaborador
Arnold D. Robbins,array.c,,,HAVE_MPFR,,,,,,Colaborador
Arnold D. Robbins,arrayparm.c,0,True,,9,"fae4762eba9ff7bb466a600130e9c90eaac6b0bc  -  2010-07-16 13:14:38+03:00, 6cc7d587a710606d3fe52222707739c7cc1b8651  -  2010-07-16 13:22:00+03:00, 85c0d5edb781c9f31b79e48452b1ca68643f41de  -  2010-07-16 14:40:49+03:00, 315bd501ca696bc3e3c938b4604d8dac7a6f512f  -  2010-07-16 14:47:02+03:00, 6a2caf2157d87b4b582b2494bdd7d6a688dd0b1f  -  2010-07-16 14:49:57+03:00, 6f3612539c425da2bc1d34db621696e6a273b01c  -  2010-11-18 23:00:31+02:00, 50d4a80f67e5bcbf3902138d85a25f6a90847d31  -  2010-11-24 20:27:02+02:00, a5695afdec422349f38bfd3658a325003b0e6b80  -  2011-02-27 08:02:24+02:00, e5353c0f447a8628985722296f57fc02dd2e0063  -  2012-05-11 15:05:35+03:00",4.323999510080515,1.0,Generalista,Colaborador
