desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Arnold D. Robbins,INTMAX_MIN,1,0.693,0.693,0.0,1,builtin.c,1,1,100.0,1.0,100.0,1.0,60,0.5172413793103449,1.7187052420509883,0.9821873255543234,1.0
Arnold D. Robbins,INTUSE,1,1.099,1.099,0.0,1,dcigettext.c,2,1,100.0,1.0,100.0,1.0,20,0.29411764705882354,1.7482517482517483,1.0095035098875704,1.0
Arnold D. Robbins,INTVARDEF,1,1.099,1.099,0.0,1,dcigettext.c,2,1,100.0,1.0,100.0,1.0,22,0.3235294117647059,1.9230769230769231,1.0095035098875704,1.0
Arnold D. Robbins,INT_IS_16BIT,1,1.099,1.099,0.0,1,regex.c,2,1,100.0,1.0,100.0,1.0,124,0.4175084175084175,0.7734530938123753,1.0095035098875704,1.0
Arnold D. Robbins,INT_MAX,1,1.099,1.099,0.0,1,mktime.c,2,1,100.0,1.0,100.0,1.0,10,0.30303030303030304,2.949852507374631,1.0095035098875704,1.0
Arnold D. Robbins,INT_MIN,1,1.099,1.099,0.0,1,mktime.c,2,1,100.0,1.0,100.0,1.0,12,0.36363636363636365,3.5398230088495577,1.0095035098875704,1.0
Arnold D. Robbins,INT_STRLEN_BOUND,1,0.693,0.693,0.0,1,strftime.c,1,1,100.0,1.0,100.0,1.0,53,0.4774774774774775,1.5304649148137452,0.9821873255543234,1.0
Arnold D. Robbins,INVALID_HANDLE,1,0.693,0.693,0.0,1,gawkmisc.c,1,1,100.0,1.0,100.0,1.0,10,0.5882352941176471,9.70873786407767,0.9821873255543234,1.0
Arnold D. Robbins,IN_GCC,1,1.099,1.099,0.0,1,getopt.c,2,1,100.0,1.0,100.0,1.0,44,0.5714285714285714,2.8664495114006514,1.0095035098875704,1.0
Arnold D. Robbins,IN_LIBINTL,1,1.099,1.099,0.0,1,vasnprintf.c,2,1,100.0,1.0,100.0,1.0,12,0.8571428571428571,21.428571428571427,1.0095035098875704,1.0
Arnold D. Robbins,IN_LIBRARY,1,1.099,1.099,0.0,1,relocatable.c,2,1,100.0,1.0,100.0,1.0,10,0.4,6.25,1.0095035098875704,1.0
Arnold D. Robbins,ISGRAPH_MISSING,1,1.099,1.099,0.0,1,regex.c,2,1,100.0,1.0,100.0,1.0,126,0.42424242424242425,0.7859281437125748,1.0095035098875704,1.0
Arnold D. Robbins,ISO_DATE_EXT,1,1.099,1.099,0.0,1,strftime.c,2,1,100.0,1.0,100.0,1.0,55,0.4954954954954955,1.5882183078255847,1.0095035098875704,1.0
Arnold D. Robbins,ISSLASH,1,1.099,1.099,0.0,1,localcharset.c,2,1,100.0,1.0,100.0,1.0,15,0.4838709677419355,5.882352941176471,1.0095035098875704,1.0
Arnold D. Robbins,I_DONT_KNOW_WHAT_IM_DOING,1,1.099,1.099,0.0,1,awkgram.c,2,1,100.0,1.0,100.0,1.0,109,0.4128787878787879,0.6433335300714159,1.0095035098875704,1.0
Arnold D. Robbins,I_FIND,1,1.099,1.099,0.0,1,io.c,2,1,100.0,1.0,100.0,1.0,189,0.6321070234113713,0.8082795193088996,1.0095035098875704,1.0
Arnold D. Robbins,I_PUSH,1,1.386,1.386,0.0,1,io.c,3,1,100.0,1.0,100.0,1.0,192,0.6421404682274248,0.8211093529487234,1.028884651108647,1.0
Arnold D. Robbins,LC_ALL,1,2.197,2.197,0.0,4,builtin.c,1,1,100.0,1.0,100.0,1.0,61,0.5258620689655172,1.7473503294185047,1.0835170197751411,1.0
Arnold D. Robbins,LC_ALL,1,2.197,2.197,0.0,4,dcgettext.c,2,1,100.0,1.0,100.0,1.0,22,0.43137254901960786,3.3587786259541983,1.0835170197751411,1.0
Arnold D. Robbins,LC_ALL,1,2.197,2.197,0.0,4,dcigettext.c,2,1,100.0,1.0,100.0,1.0,24,0.35294117647058826,2.097902097902098,1.0835170197751411,1.0
Arnold D. Robbins,LC_ALL,1,2.197,2.197,0.0,4,dfa.c,3,1,100.0,1.0,100.0,1.0,67,0.5275590551181102,2.5918762088974856,1.0835170197751411,1.0
Arnold D. Robbins,LC_COLLATE,1,2.079,2.079,0.0,4,builtin.c,1,1,100.0,1.0,100.0,1.0,62,0.5344827586206896,1.7759954167860212,1.0755819766629704,1.0
Arnold D. Robbins,LC_COLLATE,1,2.079,2.079,0.0,4,dcgettext.c,2,1,100.0,1.0,100.0,1.0,24,0.47058823529411764,3.66412213740458,1.0755819766629704,1.0
Arnold D. Robbins,LC_COLLATE,1,2.079,2.079,0.0,4,dcigettext.c,2,1,100.0,1.0,100.0,1.0,26,0.38235294117647056,2.272727272727273,1.0755819766629704,1.0
Arnold D. Robbins,LC_COLLATE,1,2.079,2.079,0.0,4,dfa.c,2,1,100.0,1.0,100.0,1.0,69,0.5433070866141733,2.6692456479690523,1.0755819766629704,1.0
Arnold D. Robbins,LC_CTYPE,1,1.792,1.792,0.0,3,builtin.c,1,1,100.0,1.0,100.0,1.0,63,0.5431034482758621,1.8046405041535376,1.056200835441894,1.0
Arnold D. Robbins,LC_CTYPE,1,1.792,1.792,0.0,3,dcgettext.c,2,1,100.0,1.0,100.0,1.0,26,0.5098039215686274,3.969465648854962,1.056200835441894,1.0
Arnold D. Robbins,LC_CTYPE,1,1.792,1.792,0.0,3,dcigettext.c,2,1,100.0,1.0,100.0,1.0,28,0.4117647058823529,2.4475524475524475,1.056200835441894,1.0
Arnold D. Robbins,LC_MESSAGES,1,1.792,1.792,0.0,3,builtin.c,1,1,100.0,1.0,100.0,1.0,64,0.5517241379310345,1.8332855915210542,1.056200835441894,1.0
Arnold D. Robbins,LC_MESSAGES,1,1.792,1.792,0.0,3,dcgettext.c,2,1,100.0,1.0,100.0,1.0,28,0.5490196078431373,4.2748091603053435,1.056200835441894,1.0
Arnold D. Robbins,LC_MESSAGES,1,1.792,1.792,0.0,3,dcigettext.c,2,1,100.0,1.0,100.0,1.0,30,0.4411764705882353,2.6223776223776225,1.056200835441894,1.0
Arnold D. Robbins,LC_MESSAGES_COMPAT,1,1.099,1.099,0.0,1,dcigettext.c,2,1,100.0,1.0,100.0,1.0,32,0.47058823529411764,2.797202797202797,1.0095035098875704,1.0
Arnold D. Robbins,LC_MONETARY,1,1.792,1.792,0.0,3,builtin.c,1,1,100.0,1.0,100.0,1.0,65,0.5603448275862069,1.8619306788885706,1.056200835441894,1.0
Arnold D. Robbins,LC_MONETARY,1,1.792,1.792,0.0,3,dcgettext.c,2,1,100.0,1.0,100.0,1.0,30,0.5882352941176471,4.580152671755725,1.056200835441894,1.0
Arnold D. Robbins,LC_MONETARY,1,1.792,1.792,0.0,3,dcigettext.c,2,1,100.0,1.0,100.0,1.0,34,0.5,2.972027972027972,1.056200835441894,1.0
Arnold D. Robbins,LC_NUMERIC,1,2.079,2.079,0.0,4,builtin.c,1,1,100.0,1.0,100.0,1.0,66,0.5689655172413793,1.8905757662560871,1.0755819766629704,1.0
Arnold D. Robbins,LC_NUMERIC,1,2.079,2.079,0.0,4,dcgettext.c,2,1,100.0,1.0,100.0,1.0,32,0.6274509803921569,4.885496183206107,1.0755819766629704,1.0
Arnold D. Robbins,LC_NUMERIC,1,2.079,2.079,0.0,4,dcigettext.c,2,1,100.0,1.0,100.0,1.0,36,0.5294117647058824,3.1468531468531467,1.0755819766629704,1.0
Arnold D. Robbins,LC_NUMERIC,1,2.079,2.079,0.0,4,main.c,2,1,100.0,1.0,100.0,1.0,94,0.6573426573426573,1.7596405840509173,1.0755819766629704,1.0
Arnold D. Robbins,LC_RESPONSE,1,1.792,1.792,0.0,3,builtin.c,1,1,100.0,1.0,100.0,1.0,67,0.5775862068965517,1.9192208536236035,1.056200835441894,1.0
Arnold D. Robbins,LC_RESPONSE,1,1.792,1.792,0.0,3,dcgettext.c,2,1,100.0,1.0,100.0,1.0,34,0.6666666666666666,5.190839694656488,1.056200835441894,1.0
Arnold D. Robbins,LC_RESPONSE,1,1.792,1.792,0.0,3,dcigettext.c,2,1,100.0,1.0,100.0,1.0,38,0.5588235294117647,3.3216783216783217,1.056200835441894,1.0
Arnold D. Robbins,LC_TIME,1,1.792,1.792,0.0,3,builtin.c,1,1,100.0,1.0,100.0,1.0,68,0.5862068965517241,1.94786594099112,1.056200835441894,1.0
Arnold D. Robbins,LC_TIME,1,1.792,1.792,0.0,3,dcgettext.c,2,1,100.0,1.0,100.0,1.0,36,0.7058823529411765,5.4961832061068705,1.056200835441894,1.0
