"Desenvolvedor","Data","Commits","Total"
"Ethan A Merritt","2003-11-01",9,4149
"Petr Mikulik","2003-11-01",3,4149
"Ethan A Merritt","2003-12-01",4,4149
"Petr Mikulik","2003-12-01",1,4149
"Ethan A Merritt","2004-01-01",4,4149
"Lars Hecking","2004-01-01",2,4149
"Ethan A Merritt","2004-02-01",4,4149
"Petr Mikulik","2004-02-01",1,4149
"Ethan A Merritt","2004-03-01",8,4149
"Ethan A Merritt","2004-04-01",1,4149
"Hans-Bernhard Broeker","2004-04-01",1,4149
"Ethan A Merritt","2004-05-01",9,4149
"Ethan A Merritt","2004-06-01",12,4149
"Ethan A Merritt","2004-07-01",20,4149
"Hans-Bernhard Broeker","2004-07-01",1,4149
"Ethan A Merritt","2004-08-01",21,4149
"Ethan A Merritt","2004-09-01",17,4149
"Petr Mikulik","2004-09-01",2,4149
"Ethan A Merritt","2004-10-01",26,4149
"Ethan A Merritt","2004-11-01",21,4149
"Petr Mikulik","2004-11-01",1,4149
"Ethan A Merritt","2004-12-01",10,4149
"Petr Mikulik","2004-12-01",3,4149
"Bastian Maerkisch","2005-01-01",3,4149
"Ethan A Merritt","2005-01-01",6,4149
"Petr Mikulik","2005-01-01",2,4149
"Ethan A Merritt","2005-02-01",18,4149
"Ethan A Merritt","2005-03-01",20,4149
"Ethan A Merritt","2005-04-01",12,4149
"Ethan A Merritt","2005-05-01",16,4149
"Ethan A Merritt","2005-06-01",10,4149
"Bastian Maerkisch","2005-07-01",1,4149
"Ethan A Merritt","2005-07-01",26,4149
"Petr Mikulik","2005-07-01",1,4149
"Bastian Maerkisch","2005-08-01",6,4149
"Ethan A Merritt","2005-08-01",9,4149
"Petr Mikulik","2005-08-01",1,4149
"Bastian Maerkisch","2005-09-01",1,4149
"Ethan A Merritt","2005-09-01",18,4149
"Bastian Maerkisch","2005-10-01",4,4149
"Ethan A Merritt","2005-10-01",13,4149
"Ethan A Merritt","2005-11-01",12,4149
"Bastian Maerkisch","2005-12-01",2,4149
"Ethan A Merritt","2005-12-01",7,4149
"Ethan A Merritt","2006-01-01",7,4149
"Bastian Maerkisch","2006-02-01",2,4149
"Ethan A Merritt","2006-02-01",8,4149
"Ethan A Merritt","2006-03-01",16,4149
"Ethan A Merritt","2006-04-01",15,4149
"Bastian Maerkisch","2006-05-01",2,4149
"Ethan A Merritt","2006-05-01",5,4149
"Petr Mikulik","2006-05-01",1,4149
"Ethan A Merritt","2006-06-01",17,4149
"Ethan A Merritt","2006-07-01",12,4149
"Bastian Maerkisch","2006-08-01",1,4149
"Ethan A Merritt","2006-08-01",10,4149
"Ethan A Merritt","2006-09-01",2,4149
"Ethan A Merritt","2006-10-01",13,4149
"Ethan A Merritt","2006-11-01",16,4149
"Ethan A Merritt","2006-12-01",5,4149
"Ethan A Merritt","2007-01-01",13,4149
"Ethan A Merritt","2007-02-01",16,4149
"Bastian Maerkisch","2007-03-01",1,4149
"Ethan A Merritt","2007-03-01",7,4149
"Ethan A Merritt","2007-04-01",9,4149
"Ethan A Merritt","2007-05-01",11,4149
"Ethan A Merritt","2007-06-01",11,4149
"Petr Mikulik","2007-06-01",1,4149
"Ethan A Merritt","2007-07-01",9,4149
"Ethan A Merritt","2007-08-01",15,4149
"Ethan A Merritt","2007-09-01",3,4149
"Ethan A Merritt","2007-10-01",20,4149
"Ethan A Merritt","2007-11-01",7,4149
"Ethan A Merritt","2007-12-01",15,4149
"Ethan A Merritt","2008-01-01",14,4149
"Ethan A Merritt","2008-02-01",18,4149
"Petr Mikulik","2008-02-01",1,4149
"Ethan A Merritt","2008-03-01",23,4149
"Bastian Maerkisch","2008-04-01",3,4149
"Ethan A Merritt","2008-04-01",17,4149
"Bastian Maerkisch","2008-05-01",1,4149
"Ethan A Merritt","2008-05-01",19,4149
"Bastian Maerkisch","2008-06-01",1,4149
"Ethan A Merritt","2008-06-01",17,4149
"Ethan A Merritt","2008-07-01",20,4149
"Ethan A Merritt","2008-08-01",6,4149
"Ethan A Merritt","2008-09-01",16,4149
"Ethan A Merritt","2008-10-01",16,4149
"Ethan A Merritt","2008-11-01",7,4149
"Bastian Maerkisch","2008-12-01",1,4149
"Ethan A Merritt","2008-12-01",11,4149
"Ethan A Merritt","2009-01-01",9,4149
"Timothee Lecomte","2009-01-01",1,4149
"Ethan A Merritt","2009-02-01",10,4149
"Ethan A Merritt","2009-03-01",14,4149
"Petr Mikulik","2009-03-01",2,4149
"Ethan A Merritt","2009-04-01",4,4149
"Ethan A Merritt","2009-05-01",3,4149
"Ethan A Merritt","2009-06-01",9,4149
"Ethan A Merritt","2009-07-01",12,4149
"Jerome Lodewyck","2009-07-01",3,4149
"Ethan A Merritt","2009-08-01",9,4149
"Jerome Lodewyck","2009-08-01",2,4149
"Ethan A Merritt","2009-09-01",3,4149
