desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Gary V. Vaughan,(HAVE_CLOSEDIR) && (HAVE_OPENDIR) && (HAVE_READDIR) && (HAVE_DIRENT_H),1,1.099,1.099,0.0,1,ltdl.c,2,1,100.0,1.0,100.0,1.0,6,0.05309734513274336,0.18999366687777075,1.0095035098875704,1.0
Jeff Bailey,(REGEX_MALLOC),1,0.693,0.693,0.0,1,regex.c,1,1,100.0,1.0,100.0,1.0,5,0.06097560975609756,0.16983695652173914,0.9821873255543234,1.0
Eric Blake,(SIZEOF_LONG_LONG_INT) && SIZEOF_LONG_LONG_INT > 0,0,1.609,0.693,1.386,2,m4.c,1,0,50.0,1.0,25.0,0.333,1,0.04,0.4854368932038835,0.8329527375797673,0.8728714561634406
Gary V. Vaughan,(SIZEOF_LONG_LONG_INT) && SIZEOF_LONG_LONG_INT > 0,1,1.609,1.386,0.693,2,eval.c,2,1,100.0,1.0,75.0,1.0,2,0.5,33.333333333333336,0.9542673571213689,1.0
Gary V. Vaughan,(SIZEOF_LONG_LONG_INT) && SIZEOF_LONG_LONG_INT > 0,1,1.609,1.386,0.693,2,m4.c,1,1,50.0,1.0,75.0,1.0,2,0.08,0.970873786407767,0.9542673571213689,1.0
Jeff Bailey,(STDC_HEADERS) || (! (isascii) && ! (HAVE_ISASCII)),1,0.693,0.693,0.0,1,regex.c,1,1,100.0,1.0,100.0,1.0,6,0.07317073170731707,0.20380434782608695,0.9821873255543234,1.0
Gary V. Vaughan,(STDC_HEADERS) || (HAVE_STRING_H),0,1.099,0.693,0.693,1,xstrdup.c,1,0,50.0,1.0,50.0,1.0,1,0.125,3.8461538461538463,0.9075700315670454,1.0
Jeff Bailey,(STDC_HEADERS) || (HAVE_STRING_H),1,1.099,0.693,0.693,1,xstrdup.c,1,1,50.0,1.0,50.0,1.0,2,0.25,7.6923076923076925,0.9075700315670454,1.0
Jeff Bailey,(VA_START) && __STDC__,1,0.693,0.693,0.0,1,error.c,1,1,100.0,1.0,100.0,1.0,1,0.047619047619047616,0.8064516129032258,0.9821873255543234,1.0
Akim Demaille,(WITH_GMP),0,1.099,0.693,0.693,1,main.c,1,0,50.0,1.0,50.0,1.0,1,0.06666666666666667,1.3333333333333333,0.9075700315670454,1.0
Gary V. Vaughan,(WITH_GMP),1,1.099,0.693,0.693,1,main.c,1,1,50.0,1.0,50.0,1.0,2,0.13333333333333333,2.6666666666666665,0.9075700315670454,1.0
Gary V. Vaughan,(WITH_GMP) || (ENABLE_CHANGEWORD),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,4,0.26666666666666666,5.333333333333333,1.0095035098875704,1.0
Gary V. Vaughan,(WITH_MODULES) || (WITH_GMP) || (ENABLE_CHANGEWORD),1,1.099,1.099,0.0,2,m4.c,1,1,100.0,1.0,100.0,1.0,3,0.12,1.4563106796116505,1.0095035098875704,1.0
Gary V. Vaughan,(WITH_MODULES) || (WITH_GMP) || (ENABLE_CHANGEWORD),1,1.099,1.099,0.0,2,main.c,1,1,100.0,1.0,100.0,1.0,5,0.3333333333333333,6.666666666666667,1.0095035098875704,1.0
Jeff Bailey,(_AIX) && ! (REGEX_MALLOC),1,0.693,0.693,0.0,1,regex.c,1,1,100.0,1.0,100.0,1.0,7,0.08536585365853659,0.23777173913043478,0.9821873255543234,1.0
Gary V. Vaughan,(_LIBC) || ! (__GNU_LIBRARY__),0,1.386,1.099,0.693,3,getopt.c,1,1,100.0,1.0,66.667,1.0,6,0.13953488372093023,0.8995502248875562,0.9348862159002924,1.0
Gary V. Vaughan,(_LIBC) || ! (__GNU_LIBRARY__),0,1.386,1.099,0.693,3,getopt1.c,1,1,100.0,1.0,66.667,1.0,6,0.24,2.6315789473684212,0.9348862159002924,1.0
Jeff Bailey,(_LIBC) || ! (__GNU_LIBRARY__),1,1.386,0.693,1.099,3,obstack.c,1,1,100.0,1.0,33.333,0.5,4,0.2,2.9411764705882355,0.8639217126792015,0.924092898136537
