"Desenvolvedor","Data","Commits","Total"
"Akim Demaille","2013-11-01",6,2004
"Akim Demaille","2013-12-01",5,2004
"Akim Demaille","2014-02-01",2,2004
"Akim Demaille","2014-12-01",1,2004
"Akim Demaille","2015-01-01",10,2004
"Akim Demaille","2015-08-01",2,2004
"Akim Demaille","2018-05-01",7,2004
"Akim Demaille","2018-06-01",6,2004
"Akim Demaille","2018-07-01",2,2004
"Akim Demaille","2018-08-01",16,2004
"Akim Demaille","2018-09-01",27,2004
"Akim Demaille","2018-10-01",31,2004
"Akim Demaille","2018-11-01",21,2004
"Akim Demaille","2018-12-01",30,2004
"Akim Demaille","2019-01-01",64,2004
"Akim Demaille","2019-02-01",32,2004
"Akim Demaille","2019-03-01",20,2004
"Akim Demaille","2019-04-01",25,2004
"Akim Demaille","2019-05-01",14,2004
"Akim Demaille","2019-06-01",6,2004
"Akim Demaille","2019-07-01",13,2004
"Akim Demaille","2019-08-01",5,2004
"Akim Demaille","2019-09-01",35,2004
"Akim Demaille","2019-10-01",26,2004
"Paul Eggert","2019-10-01",1,2004
"Akim Demaille","2019-11-01",10,2004
"Akim Demaille","2019-12-01",8,2004
"Akim Demaille","2020-01-01",42,2004
"Akim Demaille","2020-02-01",23,2004
"Akim Demaille","2020-03-01",38,2004
"Akim Demaille","2020-04-01",53,2004
"Akim Demaille","2020-05-01",31,2004
"Vincent Imbimbo","2020-05-01",11,2004
"Akim Demaille","2020-06-01",43,2004
"Vincent Imbimbo","2020-06-01",1,2004
"Akim Demaille","2020-07-01",39,2004
"Akim Demaille","2020-08-01",15,2004
"Akim Demaille","2020-09-01",6,2004
"Akim Demaille","2020-10-01",3,2004
"Akim Demaille","2020-11-01",13,2004
"Akim Demaille","2020-12-01",15,2004
"Akim Demaille","2021-01-01",5,2004
