"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"2010-11-01","Dan Winship","Misto",0,7,5,12
"2010-12-01","Dan Winship","Misto",0,7,5,12
"2010-12-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-01-01","Dan Winship","Misto",0,8,5,13
"2011-01-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-02-01","Dan Winship","Misto",0,8,5,13
"2011-02-01","Gustavo Noronha Silva","Misto",0,8,5,13
"2011-02-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-03-01","Dan Winship","Misto",0,8,5,13
"2011-04-01","Dan Winship","Misto",0,8,5,13
"2011-04-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-05-01","Dan Winship","Misto",0,8,5,13
"2011-05-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-05-01","Xan Lopez","Generalista",0,8,5,13
"2011-06-01","Dan Winship","Misto",0,8,5,13
"2011-06-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-07-01","Dan Winship","Misto",0,8,5,13
"2011-07-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-08-01","Dan Winship","Misto",0,8,5,13
"2011-09-01","Dan Winship","Misto",0,8,5,13
"2011-09-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-10-01","Dan Winship","Misto",0,8,5,13
"2011-10-01","Sergio Villar Senin","Generalista",0,8,5,13
"2011-11-01","Dan Winship","Misto",0,8,5,13
"2011-12-01","Dan Winship","Misto",0,8,5,13
"2012-01-01","Dan Winship","Misto",0,8,5,13
"2012-01-01","Sergio Villar Senin","Generalista",0,8,5,13
"2012-02-01","Dan Winship","Misto",0,8,5,13
"2012-03-01","Dan Winship","Misto",0,8,5,13
"2012-03-01","Simon Mcvittie","Generalista",0,9,5,14
"2012-04-01","Dan Winship","Misto",0,9,5,14
"2012-04-01","Sergio Villar Senin","Misto",0,8,6,14
"2012-05-01","Dan Winship","Misto",0,8,6,14
"2012-06-01","Colin Walters","Misto",0,8,7,15
"2012-06-01","Dan Winship","Misto",0,9,7,16
"2012-06-01","Sergio Villar Senin","Misto",0,9,7,16
"2012-07-01","Alban Browaeys","Generalista",0,9,7,16
"2012-07-01","Carlos Garcia Campos","Generalista",0,11,7,18
"2012-07-01","Dan Winship","Misto",0,11,7,18
"2012-07-01","Pawel Forysiuk","Generalista",0,11,7,18
"2012-07-01","Sergio Villar Senin","Misto",0,11,7,18
"2012-08-01","Dan Winship","Misto",0,11,7,18
"2012-08-01","Gustavo Noronha Silva","Misto",0,11,7,18
"2012-08-01","Sergio Villar Senin","Misto",0,11,7,18
"2012-09-01","Dan Winship","Misto",0,11,7,18
"2012-09-01","Martin Robinson","Misto",0,11,8,19
"2012-09-01","Sergio Villar Senin","Misto",0,11,8,19
"2012-10-01","Dan Winship","Misto",0,11,8,19
"2012-10-01","Gustavo Noronha Silva","Misto",0,11,8,19
"2012-11-01","Dan Winship","Misto",0,11,8,19
"2012-12-01","Dan Winship","Misto",0,11,8,19
"2013-01-01","Dan Winship","Misto",0,11,8,19
"2013-01-01","Sergio Villar Senin","Misto",0,11,8,19
"2013-02-01","Dan Winship","Misto",0,11,8,19
"2013-02-01","Sergio Villar Senin","Misto",0,11,8,19
"2013-03-01","Dan Winship","Misto",0,11,8,19
"2013-03-01","Sergio Villar Senin","Misto",0,11,8,19
"2013-04-01","Dan Winship","Misto",0,11,8,19
"2013-04-01","Sergio Villar Senin","Misto",0,11,8,19
"2013-05-01","Dan Winship","Misto",0,11,8,19
"2013-06-01","Dan Winship","Misto",0,11,8,19
"2013-06-01","David Woodhouse","Generalista",0,12,8,20
"2013-07-01","Dan Winship","Misto",0,12,8,20
"2013-08-01","Dan Winship","Misto",0,12,8,20
"2013-09-01","Dan Winship","Misto",0,12,8,20
"2013-10-01","Dan Winship","Misto",0,12,8,20
"2013-11-01","Dan Winship","Misto",0,12,8,20
"2013-12-01","Dan Winship","Misto",0,12,8,20
"2013-12-01","Gustavo Noronha Silva","Misto",0,12,8,20
"2014-01-01","Dan Winship","Misto",0,12,8,20
"2014-02-01","Dan Winship","Misto",0,12,8,20
"2014-03-01","Dan Winship","Misto",0,12,8,20
"2014-05-01","Dan Winship","Misto",0,12,8,20
"2014-06-01","Dan Winship","Misto",0,12,8,20
"2014-06-01","David Woodhouse","Generalista",0,12,8,20
"2014-07-01","Dan Winship","Misto",0,12,8,20
"2014-09-01","Carlos Garcia Campos","Generalista",0,12,8,20
"2014-11-01","Dan Winship","Misto",0,12,8,20
"2014-12-01","Dan Winship","Misto",0,12,8,20
"2015-01-01","Dan Winship","Misto",0,12,8,20
"2015-02-01","Carlos Garcia Campos","Misto",0,11,9,20
"2015-02-01","Dan Winship","Misto",0,11,9,20
"2015-03-01","Dan Winship","Misto",0,11,9,20
"2015-05-01","Dan Winship","Misto",0,11,9,20
"2015-07-01","Dan Winship","Misto",0,11,9,20
"2015-07-01","Xavier Claessens","Misto",0,11,10,21
