"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"Alex","2000-12-01","Major",1,0,1,100,0
"Alex","2001-01-01","Major",1,0,1,100,0
"Alex","2001-02-01","Major",1,0,1,100,0
"Alex","2001-03-01","Major",1,0,1,100,0
"Alex","2001-04-01","Major",1,0,1,100,0
"Alex","2001-05-01","Major",1,0,1,100,0
"Alex","2001-06-01","Major",1,0,1,100,0
"Alex Graveley","2001-06-01","Major",2,0,2,100,0
"Alex","2001-07-01","Major",2,0,2,100,0
"Alex","2001-08-01","Major",2,0,2,100,0
"Alex","2001-09-01","Major",2,0,2,100,0
"Alex Graveley","2001-09-01","Major",3,0,3,100,0
"Dan Winship","2001-09-01","Major",3,0,3,100,0
"Alex","2001-10-01","Major",3,0,3,100,0
"Dan Winship","2001-10-01","Major",3,0,3,100,0
"Alex","2001-11-01","Major",3,0,3,100,0
"Alex Graveley","2001-11-01","Major",3,0,3,100,0
"Dan Winship","2001-11-01","Major",3,0,3,100,0
"Alex","2002-03-01","Major",3,0,3,100,0
"Alex Graveley","2002-03-01","Major",3,0,3,100,0
"Dan Winship","2002-11-01","Major",3,0,3,100,0
"Dan Winship","2003-01-01","Major",3,0,3,100,0
"Dan Winship","2003-03-01","Major",3,0,3,100,0
"Dan Winship","2003-04-01","Major",3,0,3,100,0
"Dan Winship","2003-05-01","Major",3,0,3,100,0
"Dan Winship","2003-06-01","Major",3,0,3,100,0
"Dan Winship","2003-07-01","Major",3,0,3,100,0
"Dan Winship","2003-08-01","Major",3,0,3,100,0
"Dan Winship","2003-09-01","Major",3,0,3,100,0
"Dan Winship","2003-10-01","Major",3,0,3,100,0
"Dan Winship","2003-11-01","Major",3,0,3,100,0
"Rodrigo Moya","2003-11-01","Major",4,0,4,100,0
"Dan Winship","2003-12-01","Major",4,0,4,100,0
"Rodrigo Moya","2003-12-01","Major",4,0,4,100,0
"Dan Winship","2004-01-01","Major",4,0,4,100,0
"Harish Krishnaswamy","2004-01-01","Major",5,0,5,100,0
"Rodrigo Moya","2004-01-01","Major",5,0,5,100,0
"Dan Winship","2004-02-01","Major",5,0,5,100,0
"Rodrigo Moya","2004-02-01","Major",5,0,5,100,0
"Dan Winship","2004-03-01","Major",5,0,5,100,0
"Dan Winship","2004-04-01","Major",5,0,5,100,0
"Dan Winship","2004-05-01","Major",5,0,5,100,0
"Dan Winship","2004-06-01","Major",5,0,5,100,0
"Dan Winship","2004-07-01","Major",5,0,5,100,0
"Dan Winship","2004-08-01","Major",5,0,5,100,0
"Dan Winship","2004-10-01","Major",5,0,5,100,0
"Dan Winship","2005-04-01","Major",5,0,5,100,0
"Dan Winship","2005-06-01","Major",5,0,5,100,0
"Dan Winship","2005-07-01","Major",5,0,5,100,0
"Dan Winship","2005-08-01","Major",5,0,5,100,0
"Dan Winship","2005-10-01","Major",5,0,5,100,0
"Dan Winship","2005-11-01","Major",5,0,5,100,0
"Dan Winship","2005-12-01","Major",5,0,5,100,0
"Dan Winship","2006-03-01","Major",5,0,5,100,0
"Dan Winship","2006-04-01","Major",5,0,5,100,0
"Dan Winship","2006-05-01","Major",5,0,5,100,0
"Dan Winship","2006-06-01","Major",5,0,5,100,0
"Dan Winship","2006-07-01","Major",5,0,5,100,0
"Dan Winship","2006-11-01","Major",5,0,5,100,0
"Dan Winship","2006-12-01","Major",5,0,5,100,0
"Dan Winship","2007-01-01","Major",5,0,5,100,0
"Dan Winship","2007-02-01","Major",5,0,5,100,0
"Dan Winship","2007-03-01","Major",5,0,5,100,0
"Dan Winship","2007-04-01","Major",5,0,5,100,0
"Dan Winship","2007-09-01","Major",5,0,5,100,0
"Dan Winship","2007-10-01","Major",5,0,5,100,0
"Dan Winship","2007-11-01","Major",5,0,5,100,0
"Dan Winship","2008-01-01","Major",5,0,5,100,0
"Dan Winship","2008-02-01","Major",5,0,5,100,0
"Dan Winship","2008-03-01","Major",5,0,5,100,0
"Xan Lopez","2008-03-01","Major",6,0,6,100,0
"Dan Winship","2008-04-01","Major",6,0,6,100,0
"Dan Winship","2008-05-01","Major",6,0,6,100,0
"Dan Winship","2008-07-01","Major",6,0,6,100,0
"Dan Winship","2008-08-01","Major",6,0,6,100,0
"Dan Winship","2008-09-01","Major",6,0,6,100,0
"Dan Winship","2008-10-01","Major",6,0,6,100,0
"Dan Winship","2008-11-01","Major",6,0,6,100,0
"Dan Winship","2008-12-01","Major",6,0,6,100,0
"Dan Winship","2009-01-01","Major",6,0,6,100,0
"Dan Winship","2009-02-01","Major",6,0,6,100,0
"Xan Lopez","2009-02-01","Major",6,0,6,100,0
"Dan Winship","2009-03-01","Major",6,0,6,100,0
"Dan Winship","2009-04-01","Major",6,0,6,100,0
"Pierre-Luc Beaudoin","2009-04-01","Major",7,0,7,100,0
"Dan Winship","2009-05-01","Major",7,0,7,100,0
"Ross Burton","2009-05-01","Major",8,0,8,100,0
"Dan Winship","2009-06-01","Major",8,0,8,100,0
"Gustavo Noronha Silva","2009-06-01","Major",9,0,9,100,0
"Dan Winship","2009-07-01","Major",9,0,9,100,0
"Gustavo Noronha Silva","2009-07-01","Major",9,0,9,100,0
"Dan Winship","2009-08-01","Major",9,0,9,100,0
"Dan Winship","2009-09-01","Major",9,0,9,100,0
"Xan Lopez","2009-09-01","Major",10,0,10,100,0
"Alejandro G. Castro","2009-10-01","Major",10,0,10,100,0
"Dan Winship","2009-10-01","Major",10,0,10,100,0
"Dan Winship","2009-11-01","Major",10,0,10,100,0
"Benjamin Otte","2009-12-01","Major",11,0,11,100,0
"Dan Winship","2009-12-01","Major",11,0,11,100,0
