"Desenvolvedor","Data","Commits","Total"
"Aj","2009-10-01",9,2762
"Ludovic.Rousseau","2009-10-01",5,2762
"Martin","2009-10-01",11,2762
"S","2009-10-01",1,2762
"Martin","2009-11-01",9,2762
"S","2009-11-01",4,2762
"Viktor.Tarasov","2009-11-01",11,2762
"Aj","2009-12-01",6,2762
"Viktor.Tarasov","2009-12-01",2,2762
"Martin","2010-01-01",5,2762
"Viktor.Tarasov","2010-01-01",23,2762
"Aj","2010-02-01",4,2762
"Alonbl","2010-02-01",1,2762
"Flc","2010-02-01",2,2762
"Martin","2010-02-01",5,2762
"S","2010-02-01",6,2762
"Viktor.Tarasov","2010-02-01",18,2762
"Aj","2010-03-01",5,2762
"Flc","2010-03-01",1,2762
"Ludovic.Rousseau","2010-03-01",1,2762
"Viktor.Tarasov","2010-03-01",27,2762
"Ludovic.Rousseau","2010-04-01",1,2762
"Martin","2010-04-01",1,2762
"Viktor.Tarasov","2010-04-01",9,2762
"Martin","2010-05-01",3,2762
"Viktor.Tarasov","2010-05-01",4,2762
"Martin","2010-06-01",6,2762
"Flc","2010-07-01",1,2762
"Martin","2010-07-01",2,2762
"Viktor.Tarasov","2010-07-01",4,2762
"Ep","2010-08-01",4,2762
"Ludovic.Rousseau","2010-08-01",1,2762
"Martin","2010-08-01",2,2762
"Dengert","2010-09-01",1,2762
"Ep","2010-09-01",5,2762
"Flc","2010-09-01",2,2762
"Ludovic.Rousseau","2010-09-01",4,2762
"Martin","2010-09-01",10,2762
"S","2010-09-01",2,2762
"Viktor.Tarasov","2010-09-01",1,2762
"Flc","2010-10-01",1,2762
"Martin","2010-10-01",12,2762
"Martin","2010-11-01",7,2762
"Ep","2010-12-01",1,2762
"Ludovic.Rousseau","2010-12-01",1,2762
"Martin","2010-12-01",5,2762
"Vtarasov","2010-12-01",4,2762
"Ep","2011-01-01",1,2762
"Martin","2011-01-01",4,2762
"Vtarasov","2011-01-01",12,2762
"Ludovic.Rousseau","2011-02-01",3,2762
"Martin","2011-02-01",3,2762
"Vtarasov","2011-02-01",3,2762
"Ludovic.Rousseau","2011-03-01",1,2762
"Martin","2011-03-01",4,2762
"Vtarasov","2011-03-01",2,2762
"Martin","2011-04-01",3,2762
"Vtarasov","2011-04-01",7,2762
"Peter Marschall","2011-05-01",3,2762
"Vtarasov","2011-05-01",3,2762
"Peter Marschall","2011-06-01",20,2762
"Vtarasov","2011-06-01",2,2762
"Doug Engert","2011-12-01",1,2762
"Frank Morgner","2012-02-01",1,2762
"Frank Morgner","2012-04-01",1,2762
"Viktor Tarasov","2012-04-01",2,2762
"Peter Marschall","2012-05-01",24,2762
"Viktor Tarasov","2012-05-01",7,2762
"Peter Marschall","2012-06-01",16,2762
"Viktor Tarasov","2012-06-01",6,2762
"Frank Morgner","2012-07-01",1,2762
"Viktor Tarasov","2012-07-01",1,2762
"Andreas Schwier","2012-08-01",10,2762
"Doug Engert","2012-08-01",1,2762
"Frank Morgner","2012-08-01",1,2762
"Viktor Tarasov","2012-08-01",1,2762
"Andreas Schwier","2012-09-01",1,2762
"Viktor Tarasov","2012-09-01",2,2762
"Andreas Schwier","2012-10-01",3,2762
"Viktor Tarasov","2012-10-01",1,2762
"Andreas Schwier","2012-11-01",4,2762
"Viktor Tarasov","2012-11-01",3,2762
"Viktor Tarasov","2012-12-01",1,2762
"Andreas Schwier","2013-01-01",1,2762
"Viktor Tarasov","2013-01-01",3,2762
"Andreas Schwier","2013-02-01",1,2762
"Martin Paljak","2013-02-01",1,2762
"Viktor Tarasov","2013-03-01",1,2762
"Andreas Schwier","2013-04-01",1,2762
"Frank Morgner","2013-05-01",3,2762
"Andreas Schwier","2013-06-01",1,2762
"Frank Morgner","2013-06-01",1,2762
"German Blanco","2013-06-01",1,2762
"Frank Morgner","2013-07-01",2,2762
"Andreas Schwier","2013-08-01",1,2762
"Frank Morgner","2013-08-01",2,2762
"Frank Morgner","2013-09-01",2,2762
"Andreas Schwier","2013-10-01",1,2762
"Andreas Schwier","2013-11-01",1,2762
"Doug Engert","2013-11-01",2,2762
"Andreas Schwier","2013-12-01",1,2762
"Viktor Tarasov","2013-12-01",4,2762
"Andreas Schwier","2014-01-01",3,2762
"Viktor Tarasov","2014-01-01",3,2762
"Frank Morgner","2014-02-01",2,2762
"Viktor Tarasov","2014-02-01",5,2762
"Frank Morgner","2014-03-01",3,2762
"Martin Paljak","2014-03-01",1,2762
"Raul Metsma","2014-04-01",1,2762
"Andreas Schwier","2014-06-01",1,2762
"Frank Morgner","2014-06-01",4,2762
"Andreas Schwier","2014-07-01",2,2762
"Frank Morgner","2014-07-01",1,2762
"Frank Morgner","2014-08-01",1,2762
"Philip Wendland","2014-08-01",1,2762
"Andreas Schwier","2014-09-01",1,2762
"Ludovic Rousseau","2014-10-01",2,2762
"Philip Wendland","2014-10-01",4,2762
"Andreas Schwier","2014-11-01",2,2762
"Doug Engert","2014-11-01",1,2762
"Frank Morgner","2014-11-01",3,2762
"Philip Wendland","2014-11-01",7,2762
"Frank Morgner","2014-12-01",7,2762
"Frank Morgner","2015-01-01",22,2762
"Doug Engert","2015-02-01",2,2762
"Frank Morgner","2015-02-01",12,2762
"Hannu Honkanen","2015-02-01",1,2762
"Philip Wendland","2015-02-01",6,2762
"Viktor Tarasov","2015-02-01",4,2762
"Frank Morgner","2015-03-01",2,2762
"Philip Wendland","2015-03-01",5,2762
"Viktor Tarasov","2015-03-01",1,2762
"Vletoux","2015-03-01",2,2762
