desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Steven Solie,expat_68k_handler_stubs.c,1,True,__USE_INLINE__,3,"ca17d1eae66adbe690a279c0810d855de14859b9  -  2009-01-31 06:21:09+00:00, a56eee776613911bcc2046fa4a88b4f809dc28bd  -  2009-01-31 20:57:34+00:00, 823aa3badc7c7e409e085eb0dcfec288ee47824a  -  2009-08-08 03:48:55+00:00",4.530345455337537,1.0,Misto,Autor
Steven Solie,expat_lib.c,1,True,__USE_INLINE__,8,"607730d3fe67390710228b37fc30641080bc1ab7  -  2005-12-24 06:39:56+00:00, 6fb807c21192fedfaa2d67a3fb45aa1f82f23eea  -  2005-12-27 15:48:13+00:00, 01146227abf7e676b0aef32d60d74a713fa140c9  -  2006-03-19 04:35:27+00:00, 78ea98ca0dc616359574c85a122ebfa1ddbd79cd  -  2007-06-03 14:55:49+00:00, ca17d1eae66adbe690a279c0810d855de14859b9  -  2009-01-31 06:21:09+00:00, a56eee776613911bcc2046fa4a88b4f809dc28bd  -  2009-01-31 20:57:34+00:00, 200fdc2cb4c6659c46f0e0e95c5d2ba81bb1e22e  -  2009-02-10 03:47:00+00:00, 823aa3badc7c7e409e085eb0dcfec288ee47824a  -  2009-08-08 03:48:55+00:00",5.350345455337537,1.0,Misto,Autor
Steven Solie,expat_vectors.c,0,True,,3,"607730d3fe67390710228b37fc30641080bc1ab7  -  2005-12-24 06:39:56+00:00, b77dbe5a1a5240689eb07bff4b6d70baa8f42d19  -  2007-06-03 14:55:09+00:00, a56eee776613911bcc2046fa4a88b4f809dc28bd  -  2009-01-31 20:57:34+00:00",4.660499755040258,1.0,Generalista,Autor
James Clark,gennmtab.c,0,True,,5,"f237c0f54756134e88c2194b2a49044266fb5c62  -  1997-12-10 07:39:49+00:00, d4ee1a1ee1b6d0ffe4060dff2c1a398b77bb8f53  -  1998-04-05 15:11:29+00:00, 973ad606fde0f7b553a413409b28096032d4aa95  -  1999-05-29 02:19:21+00:00, 4e9aea4c1b2c04bb101a829b9c364e144f90b83e  -  2000-04-21 03:58:42+00:00, 8fd4a833187f53e02b6fe2b1513ea47a780293c4  -  2000-04-21 04:20:31+00:00",4.635845210377795,1.0,Generalista,Autor
James Clark,hashtable.c,2,True,XML_UNICODE,10,"f237c0f54756134e88c2194b2a49044266fb5c62  -  1997-12-10 07:39:49+00:00, ded70873bc6dcb7a46df89dde56d27a0523635f2  -  1997-12-10 21:57:16+00:00, 34e680d0b718c65deec5cd26d814f143808284ac  -  1998-03-08 03:39:32+00:00, d4ee1a1ee1b6d0ffe4060dff2c1a398b77bb8f53  -  1998-04-05 15:11:29+00:00, 5b77f426ee15d63e58d026815235caf60d76291f  -  1998-05-31 05:32:43+00:00, 1e657b6c6d3c9760a1bd9828f7d28329242ee85f  -  1998-11-24 07:33:01+00:00, b2eb817999ac7fdb60ef67aa759892c83f56b4c2  -  1998-11-24 07:36:01+00:00, f603b6815627f5f0368a1ee3e3083eb2699daf6b  -  1998-11-24 07:39:10+00:00, 973ad606fde0f7b553a413409b28096032d4aa95  -  1999-05-29 02:19:21+00:00, a27a7609f620bcf2f953fe16e54cb31f3a01323d  -  2000-01-07 07:22:07+00:00",6.031000000000001,1.0,Misto,Autor
James Clark,hashtable.c,,,XML_UNICODE_WCHAR_T,,,,,,Autor
Steven Solie,launch.c,1,True,__USE_INLINE__,4,"607730d3fe67390710228b37fc30641080bc1ab7  -  2005-12-24 06:39:56+00:00, 220b5e566d1513756093518b3257aafd8d09908b  -  2007-06-03 15:00:09+00:00, ca17d1eae66adbe690a279c0810d855de14859b9  -  2009-01-31 06:21:09+00:00, 823aa3badc7c7e409e085eb0dcfec288ee47824a  -  2009-08-08 03:48:55+00:00",4.694345455337537,1.0,Misto,Autor
Sebastian Pipping,loadlibrary.c,8,True,!(LOAD_LIBRARY_SEARCH_SYSTEM32),7,"d1751bb60ecb8e7e3301404bf55c54ac8dcf5bf2  -  2017-07-26 14:00:57+02:00, c9951a41cec39667b8a559f6ee5223871c0ea1d4  -  2017-07-26 14:16:08+02:00, 3c6c0b7ba99ab766684014ccd0d2481236928a12  -  2017-07-26 14:23:11+02:00, 3e63f6c438d6e5faba69881c102aba2cd1cc03fd  -  2017-07-26 15:19:45+02:00, cf5c6ffded5c318c0319b9e14bb86dcc10ae4afd  -  2017-08-02 13:34:46+02:00, 031e1df1fab10a66b289ecef9b25014e78a4c725  -  2017-08-12 21:30:10+02:00, a0567a38c29858e7f700aa178c0b20520f064715  -  2017-09-11 17:07:15+02:00",5.186345455337537,1.0,Misto,Autor
Sebastian Pipping,loadlibrary.c,,,!(LOAD_WITH_ALTERED_SEARCH_PATH),,,,,,Autor
Sebastian Pipping,loadlibrary.c,,,!defined(_WIN32_WINNT) || !defined(_WIN32_WINNT_WIN2K) || \,,,,,,Autor
