desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Sebastian Pipping,((WIN32) || (__WATCOMC__)),0,1.609,1.099,1.099,2,xmlwf.c,1,0,50.0,1.0,50.0,1.0,2,0.044444444444444446,0.36764705882352944,0.8912378970124486,1.0
Karl Waclawek,((_MSC_VER) || ((__WATCOMC__) && !(__LINUX__))),1,1.099,0.693,0.693,1,xmlfile.c,1,1,50.0,1.0,50.0,1.0,3,0.06521739130434782,0.31446540880503143,0.9075700315670454,1.0
Sebastian Pipping,((_MSC_VER) || ((__WATCOMC__) && !(__LINUX__))),0,1.099,0.693,0.693,1,xmlfile.c,1,0,50.0,1.0,50.0,1.0,4,0.08695652173913043,0.4192872117400419,0.9075700315670454,1.0
Karl Waclawek,((_MSC_VER) || (__WATCOMC__)),1,1.099,1.099,0.0,1,xmlfile.c,2,1,100.0,1.0,100.0,1.0,6,0.13043478260869565,0.6289308176100629,1.0095035098875704,1.0
Sebastian Pipping,(CURL_WINDOWS_APP),1,1.099,1.099,0.0,1,loadlibrary.c,2,1,100.0,1.0,100.0,1.0,8,0.5,7.6923076923076925,1.0095035098875704,1.0
Mariusz Zaborski,(HAVE_ARC4RANDOM),0,1.099,0.693,0.693,1,xmlparse.c,1,0,50.0,1.0,50.0,1.0,13,0.0948905109489051,0.20202020202020202,0.9075700315670454,1.0
Sebastian Pipping,(HAVE_ARC4RANDOM),1,1.099,0.693,0.693,1,xmlparse.c,1,1,50.0,1.0,50.0,1.0,14,0.10218978102189781,0.21756021756021757,0.9075700315670454,1.0
Mariusz Zaborski,(HAVE_ARC4RANDOM) && ! (HAVE_ARC4RANDOM_BUF),1,0.693,0.693,0.0,1,xmlparse.c,1,1,100.0,1.0,100.0,1.0,15,0.10948905109489052,0.2331002331002331,0.9821873255543234,1.0
Sebastian Pipping,(HAVE_ARC4RANDOM_BUF),1,0.693,0.693,0.0,1,xmlparse.c,1,1,100.0,1.0,100.0,1.0,16,0.11678832116788321,0.24864024864024864,0.9821873255543234,1.0
Sebastian Pipping,(HAVE_ARC4RANDOM_BUF) && (HAVE_LIBBSD),1,1.386,1.386,0.0,1,xmlparse.c,3,1,100.0,1.0,100.0,1.0,19,0.1386861313868613,0.29526029526029524,1.028884651108647,1.0
Sebastian Pipping,(HAVE_ARC4RANDOM_BUF) || (__CloudABI__),1,1.386,1.386,0.0,1,xmlparse.c,3,1,100.0,1.0,100.0,1.0,22,0.16058394160583941,0.3418803418803419,1.028884651108647,1.0
Clang-Format,(HAVE_GETRANDOM),0,1.386,0.693,1.099,1,xmlparse.c,1,0,33.333,0.5,33.333,0.5,23,0.1678832116788321,0.35742035742035744,0.5643367126792015,0.6036421364237862
Sebastian Pipping,(HAVE_GETRANDOM),1,1.386,1.099,0.693,1,xmlparse.c,2,1,66.667,1.0,66.667,1.0,25,0.18248175182481752,0.3885003885003885,0.9348862159002924,1.0
Clang-Format,(HAVE_GETRANDOM) || (HAVE_SYSCALL_GETRANDOM),0,1.386,0.693,1.099,1,xmlparse.c,1,0,33.333,0.5,33.333,0.5,26,0.1897810218978102,0.40404040404040403,0.5643367126792015,0.6036421364237862
Sebastian Pipping,(HAVE_GETRANDOM) || (HAVE_SYSCALL_GETRANDOM),1,1.386,1.099,0.693,1,xmlparse.c,2,1,66.667,1.0,66.667,1.0,28,0.20437956204379562,0.43512043512043513,0.9348862159002924,1.0
Clang-Format,(HAVE_LIBBSD)                                                       \,1,0.693,0.693,0.0,1,xmlparse.c,1,1,100.0,1.0,100.0,1.0,29,0.2116788321167883,0.4506604506604507,0.9821873255543234,1.0
Clang-Format,(HAVE_LIBBSD) \,0,1.099,0.693,0.693,1,xmlparse.c,1,0,50.0,1.0,50.0,1.0,30,0.21897810218978103,0.4662004662004662,0.9075700315670454,1.0
Sebastian Pipping,(HAVE_LIBBSD) \,1,1.099,0.693,0.693,1,xmlparse.c,1,1,50.0,1.0,50.0,1.0,31,0.22627737226277372,0.48174048174048173,0.9075700315670454,1.0
Clang-Format,(NDEBUG),0,1.609,0.693,1.386,2,xmlparse.c,1,0,50.0,1.0,25.0,0.333,32,0.23357664233576642,0.4972804972804973,0.8329527375797673,0.8728714561634406
Sebastian Pipping,(NDEBUG),1,1.609,1.386,0.693,2,runtests.c,2,1,100.0,1.0,75.0,1.0,6,0.1016949152542373,1.1605415860735009,0.9542673571213689,1.0
Sebastian Pipping,(NDEBUG),1,1.609,1.386,0.693,2,xmlparse.c,1,1,50.0,1.0,75.0,1.0,33,0.24087591240875914,0.5128205128205128,0.9542673571213689,1.0
Sebastian Pipping,(USE_WINDOWS_SSPI) || (!(CURL_DISABLE_TELNET) && \,1,1.099,1.099,0.0,1,loadlibrary.c,2,1,100.0,1.0,100.0,1.0,10,0.625,9.615384615384615,1.0095035098875704,1.0
Sebastian Pipping,(WIN32),1,2.197,2.197,0.0,4,codepage.c,2,1,100.0,1.0,100.0,1.0,4,0.5,14.285714285714286,1.0835170197751411,1.0
Sebastian Pipping,(WIN32),1,2.197,2.197,0.0,4,xmlfile.c,2,1,100.0,1.0,100.0,1.0,8,0.17391304347826086,0.8385744234800838,1.0835170197751411,1.0
