"Desenvolvedor","Data","Commits","Total"
"James","2005-09-01",2,958
"James","2005-10-01",33,958
"James","2005-11-01",25,958
"James","2005-12-01",15,958
"James","2006-01-01",2,958
"James","2006-02-01",10,958
"James","2006-04-01",8,958
"James","2006-06-01",9,958
"James","2006-07-01",1,958
"James","2006-09-01",1,958
"James","2006-11-01",13,958
"James","2007-02-01",3,958
"James","2007-03-01",1,958
"James","2007-04-01",4,958
"James","2007-06-01",1,958
"James","2007-08-01",1,958
"James","2007-10-01",5,958
"James","2008-01-01",12,958
"James","2008-02-01",2,958
"James","2008-05-01",3,958
"James","2008-06-01",7,958
"James","2008-07-01",29,958
"James","2008-08-01",8,958
"James","2008-09-01",7,958
"James","2008-10-01",9,958
"James","2008-11-01",11,958
"James","2008-12-01",4,958
"James","2009-01-01",3,958
"James","2009-04-01",3,958
"James","2009-05-01",7,958
"James","2009-06-01",3,958
"James","2009-08-01",5,958
"James","2009-09-01",7,958
"James","2009-10-01",5,958
"James","2009-11-01",2,958
"James","2009-12-01",3,958
"Gert Doering","2010-01-01",5,958
"James","2010-01-01",3,958
"Gert Doering","2010-02-01",6,958
"James","2010-02-01",1,958
"Gert Doering","2010-03-01",3,958
"James Yonan","2010-03-01",1,958
"David Sommerseth","2010-04-01",1,958
"James Yonan","2010-04-01",1,958
"James Yonan","2010-05-01",2,958
"James Yonan","2010-06-01",1,958
"David Sommerseth","2010-08-01",3,958
"Gert Doering","2010-08-01",1,958
"Gert Doering","2010-09-01",2,958
"Gert Doering","2010-10-01",3,958
"James Yonan","2010-10-01",1,958
"David Sommerseth","2010-11-01",1,958
"James Yonan","2010-11-01",2,958
"David Sommerseth","2010-12-01",2,958
"James Yonan","2010-12-01",4,958
"David Sommerseth","2011-01-01",1,958
"Gert Doering","2011-01-01",1,958
"James Yonan","2011-02-01",1,958
"James Yonan","2011-03-01",11,958
"James Yonan","2011-04-01",4,958
"Gert Doering","2011-05-01",1,958
"Adriaan De Jong","2011-06-01",63,958
"James Yonan","2011-06-01",1,958
"Adriaan De Jong","2011-07-01",13,958
"David Sommerseth","2011-07-01",1,958
"Adriaan De Jong","2011-08-01",3,958
"Gert Doering","2011-08-01",1,958
"James Yonan","2011-08-01",1,958
"Adriaan De Jong","2011-09-01",2,958
"Gert Doering","2011-09-01",1,958
"Adriaan De Jong","2011-10-01",10,958
"James Yonan","2011-10-01",1,958
"Gert Doering","2011-11-01",1,958
"David Sommerseth","2011-12-01",1,958
"Gert Doering","2011-12-01",2,958
"David Sommerseth","2012-01-01",1,958
"Gert Doering","2012-01-01",1,958
"Adriaan De Jong","2012-02-01",5,958
"Alon Bar-Lev","2012-02-01",6,958
"David Sommerseth","2012-02-01",1,958
"Gert Doering","2012-02-01",2,958
"Heiko Hund","2012-02-01",1,958
"Adriaan De Jong","2012-04-01",4,958
"Gert Doering","2012-06-01",4,958
"Arne Schwabe","2012-08-01",1,958
"Gert Doering","2012-08-01",1,958
"Gert Doering","2012-09-01",1,958
"James Yonan","2012-09-01",1,958
"David Sommerseth","2012-10-01",1,958
"David Sommerseth","2012-11-01",1,958
"Gert Doering","2013-03-01",1,958
"Steffan Karger","2013-03-01",6,958
"Arne Schwabe","2013-04-01",3,958
"Steffan Karger","2013-04-01",2,958
"Arne Schwabe","2013-05-01",3,958
"Gert Doering","2013-05-01",1,958
"Steffan Karger","2013-05-01",1,958
"David Sommerseth","2013-07-01",1,958
"Arne Schwabe","2013-11-01",1,958
"Gert Doering","2014-01-01",6,958
"Steffan Karger","2014-01-01",8,958
"Steffan Karger","2014-02-01",2,958
"Steffan Karger","2014-03-01",3,958
"Gert Doering","2014-04-01",2,958
