"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"David Sommerseth","2010-11-01","Major",4,0,4,100,0
"James Yonan","2010-11-01","Major",4,0,4,100,0
"David Sommerseth","2010-12-01","Major",4,0,4,100,0
"James Yonan","2010-12-01","Major",4,0,4,100,0
"David Sommerseth","2011-01-01","Major",4,0,4,100,0
"Gert Doering","2011-01-01","Major",4,0,4,100,0
"James Yonan","2011-02-01","Major",4,0,4,100,0
"James Yonan","2011-03-01","Major",4,0,4,100,0
"James Yonan","2011-04-01","Major",4,0,4,100,0
"Gert Doering","2011-05-01","Major",4,0,4,100,0
"Adriaan De Jong","2011-06-01","Major",5,0,5,100,0
"James Yonan","2011-06-01","Major",5,0,5,100,0
"Adriaan De Jong","2011-07-01","Major",5,0,5,100,0
"David Sommerseth","2011-07-01","Major",5,0,5,100,0
"Adriaan De Jong","2011-08-01","Major",5,0,5,100,0
"Gert Doering","2011-08-01","Major",5,0,5,100,0
"James Yonan","2011-08-01","Major",5,0,5,100,0
"Adriaan De Jong","2011-09-01","Major",5,0,5,100,0
"Gert Doering","2011-09-01","Major",5,0,5,100,0
"Adriaan De Jong","2011-10-01","Major",5,0,5,100,0
"James Yonan","2011-10-01","Major",5,0,5,100,0
"Gert Doering","2011-11-01","Major",5,0,5,100,0
"David Sommerseth","2011-12-01","Major",5,0,5,100,0
"Gert Doering","2011-12-01","Major",5,0,5,100,0
"David Sommerseth","2012-01-01","Major",5,0,5,100,0
"Gert Doering","2012-01-01","Major",5,0,5,100,0
"Adriaan De Jong","2012-02-01","Major",5,0,5,100,0
"Alon Bar-Lev","2012-02-01","Major",7,0,7,100,0
"David Sommerseth","2012-02-01","Major",7,0,7,100,0
"Gert Doering","2012-02-01","Major",7,0,7,100,0
"Heiko Hund","2012-02-01","Major",7,0,7,100,0
"Adriaan De Jong","2012-04-01","Major",7,0,7,100,0
"Gert Doering","2012-06-01","Major",7,0,7,100,0
"Arne Schwabe","2012-08-01","Major",8,0,8,100,0
"Gert Doering","2012-08-01","Major",8,0,8,100,0
