"Desenvolvedor","Data","Commits","Total"
"Jon Simons","2014-12-01",1,3066
"Andreas Schneider","2015-01-01",7,3066
"Aris Adamantiadis","2015-01-01",6,3066
"Andreas Schneider","2015-02-01",4,3066
"Aris Adamantiadis","2015-02-01",3,3066
"Andreas Schneider","2015-04-01",9,3066
"Aris Adamantiadis","2015-04-01",1,3066
"Andreas Schneider","2015-05-01",15,3066
"Andreas Schneider","2015-06-01",2,3066
"Aris Adamantiadis","2015-07-01",7,3066
"Andreas Schneider","2015-08-01",3,3066
"Andreas Schneider","2015-09-01",23,3066
"Aris Adamantiadis","2015-09-01",10,3066
"Fabiano Fidencio","2015-09-01",3,3066
"Andreas Schneider","2015-10-01",5,3066
"Aris Adamantiadis","2015-12-01",5,3066
"Andreas Schneider","2016-01-01",10,3066
"Aris Adamantiadis","2016-01-01",1,3066
"Andreas Schneider","2016-02-01",6,3066
"Aris Adamantiadis","2016-02-01",1,3066
"Andreas Schneider","2016-03-01",1,3066
"Aris Adamantiadis","2016-03-01",1,3066
"Andreas Schneider","2016-05-01",14,3066
"Aris Adamantiadis","2016-05-01",2,3066
"Aris Adamantiadis","2016-06-01",2,3066
"Andreas Schneider","2016-10-01",6,3066
"Andreas Schneider","2016-11-01",23,3066
"Andreas Schneider","2017-02-01",8,3066
"Andreas Schneider","2017-04-01",9,3066
"Andreas Schneider","2017-06-01",2,3066
"Aris Adamantiadis","2017-06-01",1,3066
"Andreas Schneider","2017-07-01",2,3066
"Jon Simons","2017-07-01",1,3066
"Andreas Schneider","2017-08-01",5,3066
"Jon Simons","2017-08-01",2,3066
"Jon Simons","2017-09-01",3,3066
"Andreas Schneider","2017-10-01",3,3066
"Jakub Jelen","2017-10-01",3,3066
"Andreas Schneider","2017-11-01",5,3066
"Jakub Jelen","2017-11-01",9,3066
"Jakub Jelen","2017-12-01",2,3066
"Juraj Vijtiuk","2017-12-01",1,3066
"Andreas Schneider","2018-01-01",25,3066
"Alex Gaynor","2018-02-01",1,3066
"Andreas Schneider","2018-02-01",10,3066
"Aris Adamantiadis","2018-02-01",8,3066
"Jon Simons","2018-02-01",2,3066
"Andreas Schneider","2018-03-01",4,3066
"Andreas Schneider","2018-04-01",8,3066
"Andreas Schneider","2018-05-01",7,3066
"Jon Simons","2018-05-01",1,3066
"Andreas Schneider","2018-06-01",33,3066
"Jakub Jelen","2018-06-01",1,3066
"Jon Simons","2018-06-01",4,3066
"Anderson Toshiyuki Sasaki","2018-07-01",7,3066
"Andreas Schneider","2018-07-01",17,3066
"Jakub Jelen","2018-07-01",3,3066
"Andreas Schneider","2018-08-01",88,3066
"Jakub Jelen","2018-08-01",9,3066
"Jan-Niklas Burfeind","2018-08-01",1,3066
"Anderson Toshiyuki Sasaki","2018-09-01",13,3066
"Andreas Schneider","2018-09-01",102,3066
"Jakub Jelen","2018-09-01",8,3066
"Anderson Toshiyuki Sasaki","2018-10-01",1,3066
"Andreas Schneider","2018-10-01",23,3066
"Aris Adamantiadis","2018-10-01",5,3066
"Jakub Jelen","2018-10-01",9,3066
"Simo Sorce","2018-10-01",2,3066
"Anderson Toshiyuki Sasaki","2018-11-01",10,3066
"Andreas Schneider","2018-11-01",15,3066
"Aris Adamantiadis","2018-11-01",5,3066
"Jakub Jelen","2018-11-01",20,3066
"Andreas Schneider","2018-12-01",12,3066
"Jakub Jelen","2018-12-01",11,3066
"Anderson Toshiyuki Sasaki","2019-01-01",7,3066
"Andreas Schneider","2019-01-01",14,3066
"Jakub Jelen","2019-01-01",9,3066
"Anderson Toshiyuki Sasaki","2019-02-01",3,3066
"Andreas Schneider","2019-02-01",7,3066
"Jakub Jelen","2019-02-01",6,3066
"Jon Simons","2019-02-01",1,3066
"Till Wimmer","2019-02-01",1,3066
"Anderson Toshiyuki Sasaki","2019-03-01",5,3066
"Andreas Schneider","2019-03-01",2,3066
"Ben Toews","2019-03-01",1,3066
"Simo Sorce","2019-03-01",4,3066
"Anderson Toshiyuki Sasaki","2019-04-01",3,3066
"Andreas Schneider","2019-04-01",6,3066
"Jon Simons","2019-04-01",3,3066
"Anderson Toshiyuki Sasaki","2019-05-01",15,3066
